backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,loca_newton_iterations,loca_continuation_status,loca_step_size,loca_continuation_mode
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.298317366548036,0.005000000000000002,9.191801688882403,-17.304482189561515,9816.321012907028,9816.321012907028,3.053225443791503e-08,3.053225443791503e-08,1.568309736043716,4.63859828502673e-17,true,,0,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.238402721076956,0.005308729589274897,9.251400294035276,-17.244615098366687,10419.14537339417,10419.14537339417,3.241595495843533e-08,3.241595495843533e-08,1.5685132190961326,2.091900856901021e-11,true,,1,raw/bs2026_loca_T190K.csv,2,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.178488075605877,0.005636521970408556,9.31099889918815,-17.18474800717186,11058.98942884839,11058.98942884839,3.441587118972877e-08,3.441587118972877e-08,1.5687167021485493,5.4009925285876985e-11,true,,2,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.118573430134797,0.005984554192981187,9.370592865770377,-17.12488586459432,11738.072126147907,11738.072126147907,3.65389922919332e-08,3.65389922919332e-08,1.5689201687076633,1.5814863957356819e-16,true,,3,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.058658784663717,0.006354075984579668,9.430186832352604,-17.06502372201678,12458.854231222298,12458.854231222298,3.879308910559865e-08,3.879308910559865e-08,1.5691236352667772,5.009261671728092e-11,true,,4,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.998744139192637,0.006746414238367819,9.48978769715806,-17.005154745846067,13223.987538464693,13223.987538464693,4.118652299621229e-08,4.118652299621229e-08,1.5693271251607885,3.7493063183805897e-16,true,,5,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.938829493721557,0.0071629777777457385,9.549388561963518,-16.945285769675355,14036.109835784891,14036.109835784891,4.37276256061987e-08,4.37276256061987e-08,1.5695306150547998,6.367905904483867e-11,true,,6,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.878914848250478,0.00760526241520746,9.60898309827879,-16.885423439151605,14898.012567102482,14898.012567102482,4.642519918949131e-08,4.642519918949131e-08,1.5697340826868844,3.7012072465046264e-16,true,,7,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.819000202779398,0.008074856323562418,9.668577634594062,-16.825561108627856,15812.84138171124,15812.84138171124,4.928918709636994e-08,4.928918709636994e-08,1.569937550318969,6.368793711197755e-11,true,,8,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.7590855573083175,0.008573445738807861,9.728179068283941,-16.765691944817565,16783.96202872468,16783.96202872468,5.23302130748355e-08,5.23302130748355e-08,1.5701410412842918,4.764663229107669e-16,true,,9,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.699170911837238,0.009102821015130404,9.78778050197382,-16.705822781007274,17814.722514543217,17814.722514543217,5.55588631458555e-08,5.55588631458555e-08,1.5703445322496146,7.678193504632757e-11,true,,10,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.639256266366158,0.009664883053779222,9.847375606293587,-16.64596026318311,18908.665845229338,18908.665845229338,5.898632124750577e-08,5.898632124750577e-08,1.5705480009512425,4.706895210401235e-16,true,,11,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.579341620895079,0.010261650128895843,9.906970710613354,-16.586097745358945,20069.784626432625,20069.784626432625,6.262522120331581e-08,6.262522120331581e-08,1.5707514696528704,8.097303677480173e-11,true,,12,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.519426975423999,0.01089526513481118,9.96657271145334,-16.52622839456298,21302.350792513098,21302.350792513098,6.648906129874956e-08,6.648906129874956e-08,1.570954961686053,6.056791212035173e-16,true,,13,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.4595123299529185,0.011568003280833449,10.026174712293326,-16.466359043767017,22610.613802483243,22610.613802483243,7.05912919339087e-08,7.05912919339087e-08,1.5711584537192356,9.418982366217344e-11,true,,14,raw/bs2026_loca_T190K.csv,0,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.399597684481839,0.012282280261157907,10.08577038288709,-16.40649633929482,23999.070583364773,23999.070583364773,7.494612316933786e-08,7.494612316933786e-08,1.571361923486963,5.985783520319233e-16,true,,15,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.339683039010759,0.013040660929235193,10.14536943067572,-16.346630241780822,25472.874775249864,25472.874775249864,7.956987728534252e-08,7.956987728534252e-08,1.5715654047866296,1.75922768067417e-16,true,,16,raw/bs2026_loca_T190K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
